POIS_ID;GRUPA;PODGRUPA;NAZWA;ADRES;KOD_POCZTO;STATUS_PUB;L_DZIECI_U;L_ODDZIALO;TYP
15799;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 21 im. Mieszka I;Osobowicka 127;51-004;publiczna;296;15;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
17074;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 22;Karpnicka 2;54-061;publiczna;1187;49;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16094;Edukacja;Szko┼éy podstawowe;"Szko┼éa Podstawowa nr 23                              Genera┼éa Stefana ""Grota"" Roweckiego";Przystankowa 32;52-231;publiczna;499;22;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16020;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 24;Cz─Östochowska 42;54-031;publiczna;755;40;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16034;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 25   Franciszka Juszczaka;Stanis┼éawowska 38-44;54-611;publiczna;1109;52;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16002;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 26                  Piast├│w ┼Ül─ůskich;Suwalska 5;54-104;publiczna;1063;50;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15756;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 27;Rumiankowa 34;54-512;publiczna;597;28;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16031;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 28 im. Genera┼éa Leopolda Okulickiego;Grecka 59;54-406;publiczna;538;28;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
18593;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 29;ks. Krai┼äskiego 1;50-153;publiczna;224;12;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16035;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 3   Mariusza Zaruskiego;Bobrza 27;54-220;publiczna;773;31;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15696;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 30;Zaporoska 28;53-523;publiczna;328;18;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16217;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 32;K┼éodzka 40;50-536;publiczna;1132;45;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16160;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 33;Kolista 17;54-152;publiczna;432;21;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16051;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 34;Ga┼éczy┼äskiego 8;52-214;publiczna;767;32;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16042;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 36              Bohater├│w Westerplatte;Chopina 9b;51-609;publiczna;480;21;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
